status,post,what to do
,2016-08-23-glm-sampling-distributions,extend with wnlm.Q
,2016-08-21-likelihood-surface,extend with wnlm.Q
,2016-08-08-imprinted-gene-clusters,extend with wnlm.Q
,2016-08-08-imprinted-gene-clusters,update design matrix
,2016-08-08-imprinted-gene-clusters,update fig for ms
,2016-08-08-imprinted-gene-clusters,diminish size of plotting character for red symbols
,2016-07-08-conditional-inference,trellis panels: 30 genes
,2016-07-08-conditional-inference,extend with wnlm.Q
,2016-06-17-extending-regression-analysis,extend with wnlm.Q
,2016-06-17-extending-regression-analysis,remove WA.8
