"Coefficient","Gene","p.val.t.dist.wnlm.Q.*","p.val.perm.wnlm.Q.*","p.val.t.dist.logi.S.*","p.val.perm.logi.S.*","logi.S.fit.OK","Estimate.wnlm.Q","p.val.t.dist.wnlm.Q","p.val.perm.wnlm.Q","Estimate.logi.S","p.val.t.dist.logi.S","p.val.perm.logi.S"
"Age","MAGEL2","*","**",NA,NA,FALSE,0.00627629186007603,0.0462223271798975,0.009,NA,NA,NA
"Age","TMEM261P1","","",NA,NA,FALSE,0.000218901741750383,0.949324782503517,0.938,NA,NA,NA
"Age","SNHG14","","",NA,NA,FALSE,0.00479328417099843,0.133340747102775,0.1652,NA,NA,NA
"Age","AL132709.5","","",NA,NA,FALSE,-0.00224676250174563,0.350860922292133,0.2504,NA,NA,NA
"Age","RP11-909M7.3","","",NA,NA,FALSE,-0.000399981479927213,0.889215494419501,0.8628,NA,NA,NA
"Age","ZIM2","","*",NA,NA,FALSE,-0.00684110018046545,0.0833322794568752,0.043,NA,NA,NA
"Age","NAP1L5","","*",NA,NA,FALSE,-0.0066063168633211,0.0606326630014384,0.043,NA,NA,NA
"Age","MEG3","","",NA,NA,FALSE,-0.00460896205622907,0.174549404282498,0.2014,NA,NA,NA
"Age","PEG3","","",NA,NA,FALSE,-0.00354331326309895,0.18201290900471,0.1592,NA,NA,NA
"Age","PWAR6","","",NA,NA,FALSE,0.00276576302610101,0.41255912633941,0.3142,NA,NA,NA
"Age","FAM50B","","",NA,NA,FALSE,-0.00101710756549887,0.766233477035476,0.7282,NA,NA,NA
"Age","NDN","","",NA,NA,FALSE,-0.00483340881018188,0.396864895772765,0.2268,NA,NA,NA
"Age","SNURF","","",NA,NA,FALSE,-0.00122117807694708,0.736485896790758,0.7172,NA,NA,NA
"Age","PEG10","","",NA,NA,FALSE,0.000959282117469228,0.638357343219769,0.5344,NA,NA,NA
"Age","SNRPN","","",NA,NA,FALSE,-0.00102673273952693,0.751051101277618,0.7452,NA,NA,NA
"Age","KCNQ1OT1","","","","",TRUE,-0.00194192414016673,0.557179236987088,0.551,-0.00230344567491845,0.535910001512299,0.5734
"Age","ZDBF2","*","**",NA,NA,FALSE,-0.00688284846914976,0.017543530527244,0.0078,NA,NA,NA
"Age","GRB10","","","","*",TRUE,-0.000655507656147945,0.748137565341797,0.7136,-0.00463225067439322,0.0558544207309383,0.0374
"Age","SNORD116-20","","",NA,NA,FALSE,0.00788030828048139,0.211106121703215,0.241,NA,NA,NA
"Age","KCNK9","*","**","**","**",TRUE,0.00763848446059268,0.0125917243227787,0.0042,0.0161621333490811,0.00926572251223627,0.004
"Age","INPP5F","*","***",NA,NA,FALSE,-0.00346344089411626,0.0122872043597151,1e-04,NA,NA,NA
"Age","RP13-487P22.1","","",NA,NA,FALSE,0.0165026529744764,0.229096864163419,0.1638,NA,NA,NA
"Age","MEST","","","","",TRUE,-0.00265042742196481,0.231561135315151,0.2358,-0.000757316502325936,0.624310852595464,0.6428
"Age","ZNF331","","",NA,NA,FALSE,-0.00205148126549324,0.304592070518283,0.3014,NA,NA,NA
