"Model","Gene","Coefficient","Estimate","p.val.t.dist","p.val.perm"
"wnlm.Q","MAGEL2","Age",0.00627629186007603,0.0462223271798975,0.009
"wnlm.Q","TMEM261P1","Age",0.000218901741750383,0.949324782503517,0.938
"wnlm.Q","SNHG14","Age",0.00479328417099843,0.133340747102775,0.1652
"wnlm.Q","AL132709.5","Age",-0.00224676250174563,0.350860922292133,0.2504
"wnlm.Q","RP11-909M7.3","Age",-0.000399981479927213,0.889215494419501,0.8628
"wnlm.Q","ZIM2","Age",-0.00684110018046545,0.0833322794568752,0.043
"wnlm.Q","NAP1L5","Age",-0.0066063168633211,0.0606326630014384,0.043
"wnlm.Q","MEG3","Age",-0.00460896205622907,0.174549404282498,0.2014
"wnlm.Q","PEG3","Age",-0.00354331326309895,0.18201290900471,0.1592
"wnlm.Q","PWAR6","Age",0.00276576302610101,0.41255912633941,0.3142
"wnlm.Q","FAM50B","Age",-0.00101710756549887,0.766233477035476,0.7282
"wnlm.Q","NDN","Age",-0.00483340881018188,0.396864895772765,0.2268
"wnlm.Q","SNURF","Age",-0.00122117807694708,0.736485896790758,0.7172
"wnlm.Q","PEG10","Age",0.000959282117469228,0.638357343219769,0.5344
"wnlm.Q","SNRPN","Age",-0.00102673273952693,0.751051101277618,0.7452
"wnlm.Q","KCNQ1OT1","Age",-0.00194192414016673,0.557179236987088,0.551
"wnlm.Q","ZDBF2","Age",-0.00688284846914976,0.017543530527244,0.0078
"wnlm.Q","GRB10","Age",-0.000655507656147945,0.748137565341797,0.7136
"wnlm.Q","SNORD116-20","Age",0.00788030828048139,0.211106121703215,0.241
"wnlm.Q","KCNK9","Age",0.00763848446059268,0.0125917243227787,0.0042
"wnlm.Q","INPP5F","Age",-0.00346344089411626,0.0122872043597151,0
"wnlm.Q","RP13-487P22.1","Age",0.0165026529744764,0.229096864163419,0.1638
"wnlm.Q","MEST","Age",-0.00265042742196481,0.231561135315151,0.2358
"wnlm.Q","ZNF331","Age",-0.00205148126549324,0.304592070518283,0.3014
"wnlm.Q","hsa-mir-335","Age",0.0105042836213237,0.10873835360495,0.1488
"wnlm.Q","DIRAS3","Age",-0.00460217975117688,0.543204765771788,0.611
"wnlm.Q","PWRN1","Age",-0.00194999268257962,0.661130242550187,0.6
"wnlm.Q","IGF2","Age",-0.0038069373964741,0.163553550335162,0.1372
"wnlm.Q","NLRP2","Age",0.00441852971953292,0.208723305881003,0.1844
"wnlm.Q","UBE3A","Age",-0.010669652086413,0.0436072623326872,0.1852
"wnlm.Q","MAGEL2","InstitutionPenn",-0.0478572007624264,0.67005424430914,NA
