"","Symbol","imprinted","Type","mono.9....","skew.8....","skew.7....","indeterminate....","bi....","subjects","conflict","FPKM","chip.SNPs","imputed.SNPS","Biased.SNPs..binomial.....","chr","start","end","gene.type","file.size","imprinting.status","seg","cluster","score"
"MAGEL2","MAGEL2","known_imprinted","mono.9 known",100,0,0,0,0,89,0,1,2,3,"0.00 (0/3)","chr 15",23888690,23891175,"protein_coding",66633,"known imprinted",28,"clus 28 (chr 15)",1
"TMEM261P1","TMEM261P1","1 M impr clstr","mono.9 novel",100,0,0,0,0,27,0,9,0,3,"0.00 (0/3)","chr 15",25414483,25414823,"pseudogene",60841,"nearby candidate",28,"clus 28 (chr 15)",1
"SNHG14","SNHG14","known_imprinted","mono.9 known",99.8,0.2,0,0,0,512,14,156,12,181,"0.02 (3/181)","chr 15",25497371,25664609,"snoRNA",1594517,"known imprinted",28,"clus 28 (chr 15)",0.998098859315589
"AL132709.5","AL132709.5","1 M impr clstr","mono.9 novel",99.4,0.6,0,0,0,323,1,61,0,12,"0.17 (2/12)","chr 14",101403737,101426536,"lincRNA",145489,"nearby candidate",27,"clus 27 (chr 14)",0.993827160493827
"RP11-909M7.3","RP11-909M7.3","1 M impr clstr","mono.9 novel",99.3,0.7,0,0,0,138,0,7,0,4,"0.00 (0/4)","chr 14",101433988,101452987,"lincRNA",77398,"nearby candidate",27,"clus 27 (chr 14)",0.992753623188406
"ZIM2","ZIM2","known_imprinted","mono.9 known",99.1,0.9,0,0,0,231,0,12,2,5,"0.00 (0/5)","chr 19",57285919,57352097,"protein_coding",98258,"known imprinted",32,"clus 32 (chr 19)",0.991341991341991
"NAP1L5","NAP1L5","known_imprinted","mono.9 known",99.1,0.5,0,0.4,0,219,0,78,1,7,"0.00 (0/7)","chr 4",89617065,89619386,"protein_coding",115459,"known imprinted",5,"clus 5 (chr 4)",0.990867579908676
"MEG3","MEG3","known_imprinted","mono.9 known",99,1,0,0,0,502,2,148,13,94,"0.04 (4/91)","chr 14",101245746,101327368,"lincRNA",877813,"known imprinted",27,"clus 27 (chr 14)",0.990079365079365
"PEG3","PEG3","known_imprinted","mono.9 known",99,0.8,0.2,0,0,499,0,120,32,60,"0.02 (1/60)","chr 19",57321444,57352096,"protein_coding",614148,"known imprinted",32,"clus 32 (chr 19)",0.98997995991984
"PWAR6","PWAR6","1 M impr clstr","mono.9 novel",99,0.5,0.3,0.2,0,385,2,110,0,27,"0.00 (0/27)","chr 15",25277019,25281637,"lincRNA",322213,"nearby candidate",28,"clus 28 (chr 15)",0.989664082687339
